GENESIS-Tabelle: 12411-0013
Bevölkerung: Bundesländer, Stichtag, Geschlecht, Altersjahre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
;;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt
31.12.2019;unter 1 Jahr;55511;52792;108303;65655;62381;128036;19929;18730;38659;10094;9535;19629;3692;3264;6956;10392;9979;20371;30848;29025;59873;6503;6159;12662;37556;35791;73347;87078;82431;169509;19036;18172;37208;4094;3896;7990;17590;16786;34376;8524;8074;16598;12707;12060;24767;8351;8235;16586
31.12.2019;1-Jährige;56373;53809;110182;66034;62970;129004;19978;19045;39023;10867;10201;21068;3559;3409;6968;10496;9870;20366;31449;29733;61182;6744;6440;13184;38584;36478;75062;89609;84975;174584;19659;18773;38432;4221;3931;8152;18490;17519;36009;8946;8610;17556;13175;12612;25787;9026;8547;17573
31.12.2019;2-Jährige;56492;53615;110107;65942;63409;129351;20182;18970;39152;11347;10915;22262;3524;3289;6813;10432;9769;20201;31680;30140;61820;6883;6608;13491;38680;37204;75884;90335;84923;175258;20333;18917;39250;4289;4118;8407;19152;18378;37530;9451;8930;18381;13439;12713;26152;9414;8942;18356
31.12.2019;3-Jährige;56469;53451;109920;65900;62568;128468;19984;19228;39212;11903;11300;23203;3448;3254;6702;10212;9947;20159;31872;30393;62265;7045;6879;13924;39236;37465;76701;90528;86245;176773;20249;19137;39386;4201;4190;8391;19659;18783;38442;9662;9063;18725;13574;13060;26634;9646;9265;18911
31.12.2019;4-Jährige;54194;52358;106552;63556;60525;124081;19206;17982;37188;11674;10877;22551;3432;3157;6589;9652;9198;18850;31088;29277;60365;7269;6961;14230;38113;35860;73973;87656;82655;170311;19475;18514;37989;4269;3825;8094;19683;18382;38065;9424;9072;18496;13303;12594;25897;9782;9130;18912
31.12.2019;5-Jährige;53610;50371;103981;62566;59002;121568;18567;17973;36540;11929;11345;23274;3306;3042;6348;9346;8982;18328;29983;28738;58721;7136;6864;14000;38142;35879;74021;86245;81442;167687;19125;18258;37383;4164;3931;8095;19407;18532;37939;9688;8972;18660;13123;12692;25815;9831;9288;19119
31.12.2019;6-Jährige;51945;48942;100887;60261;57827;118088;17720;16712;34432;11526;10885;22411;3056;2912;5968;8912;8510;17422;29153;27657;56810;7058;6771;13829;36319;34595;70914;82968;77516;160484;18337;17624;35961;3994;3614;7608;19144;17796;36940;9343;8905;18248;12909;12260;25169;9637;9146;18783
31.12.2019;7-Jährige;51142;48379;99521;60303;56811;117114;17724;16692;34416;11713;11272;22985;3020;2857;5877;8748;8231;16979;29104;27479;56583;7175;6738;13913;36263;34271;70534;82812;78360;161172;18289;17113;35402;3993;3752;7745;19051;18067;37118;9419;8960;18379;13146;12408;25554;9633;9044;18677
31.12.2019;8-Jährige;50222;47691;97913;58181;54873;113054;16749;15870;32619;11548;11026;22574;2907;2658;5565;8223;7871;16094;29034;27436;56470;7147;6728;13875;35623;33791;69414;80811;76505;157316;18139;17159;35298;4113;3789;7902;18764;17703;36467;9289;8734;18023;12715;12197;24912;9408;8903;18311
